"id","country_slug","country","ul_safety_index","institutions_resources","safety_frameworks","safety_outcomes","transport_injuries","transport_injuries_rating","falls","falls_rating","drowning","drowning_rating","fires_heat_hot_substances","fires_heat_hot_substances_rating","poisonings","poisonings_rating","exposure_to_mechanical_forces","exposure_to_mechanical_forces_rating","foreign_body","foreign_body_rating","other_unintentional_injuries","other_unintentional_injuries_rating","exposure_to_forces_of_nature_disaster","exposure_to_forces_of_nature_disaster_rating","unintentional_injuries","gdp_per_capita","gdp_per_capita_rating","government_effectiveness","government_effectiveness_rating","education","education_rating","network_readiness","network_readiness_rating","ul_standards_index","ul_standards_index_rating","consumer_protection_survey","consumer_protection_survey_rating","ul_labor_rights_index","ul_labor_rights_index_rating","iso_membership","iec_membership","ul_safety_index_rank","institutions_resources_rank","safety_frameworks_rank","safety_outcomes_rank","transport_injuries_rating_rank","falls_rating_rank","drowning_rating_rank","fires_heat_hot_substances_rating_rank","poisonings_rating_rank","exposure_to_mechanical_forces_rating_rank","foreign_body_rating_rank","other_unintentional_injuries_rating_rank","exposure_to_forces_of_nature_disaster_rating_rank","gdp_per_capita_rating_rank","government_effectiveness_rating_rank","education_rating_rank","network_readiness_rating_rank","ul_standards_index_rating_rank","consumer_protection_survey_rating_rank","ul_labor_rights_index_rating_rank"
1,"Afghanistan","Afghanistan",NULL,6.94980694980695,NULL,42.8924413242282,3161.621466279,0,1455.103140324,0,1670.762337744,0.404838138835259,221.728952602,0.795722973647055,210.974086076,0.85590815922685,675.013568252,0.150592753983105,264.051486738,0.657374304933404,3412.906453013,0,9.732519538,0.995883388554868,11081.894010566,NULL,NULL,-2.32,0,0.226,0.138996138996139,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,184,NULL,187,187,187,184,113,148,184,137,187,129,NULL,183,148,NULL,NULL,NULL,NULL
2,"Albania","Albania",61.9541628411075,42.7768530432026,62.5,88.9452232838446,603.942433372,0.908058476988863,234.205974266,0.882343882473069,211.667222902,0.930735796375494,60.9201437329999,0.961385527976778,58.220757637,0.964249963856753,405.455799772999,0.509016870321458,33.935336978,0.982948418973623,457.653868942999,0.870884035453637,10.7639411,0.995447123126342,2076.765478704,1175.788981,0.376167463667973,-0.83,0.33184855233853,0.565,0.575289575289575,NULL,NULL,5,0.625,NULL,NULL,NULL,NULL,"Member body",NULL,77,105,59,61,19,54,69,26,76,163,10,180,134,108,143,80,NULL,59,NULL,NULL
3,"Algeria","Algeria",60.8023155523418,40.9624116623928,62.5,87.8000618209099,1531.209051609,0.578848946674228,228.295242414,0.886615575647187,144.607247785,0.954906039610498,236.253603362,0.780759920549579,91.071194038,0.940950467872379,129.167665727,0.876390182761994,70.093449904,0.931791011753285,170.942104887,0.955375188405864,8.586252807,0.996368230606876,2610.225812533,1757.011974,0.443351544306434,-0.96,0.302895322939866,0.493,0.482625482625483,NULL,NULL,5,0.625,NULL,NULL,NULL,NULL,"Member body",NULL,82,109,59,76,158,53,49,117,103,47,45,106,124,91,154,96,NULL,59,NULL,NULL
4,"Andorra","Andorra",NULL,84.622788646066,NULL,92.8138956321432,505.247572437,0.943098333027954,670.913187787,0.566735042519541,23.03107176,0.998725407884628,38.351217518,0.984635659555713,19.581570814,0.991655188165875,96.05094092,0.920424650371464,35.874114837,0.980205387315814,128.878443501999,0.967770938051897,0,1,1517.928119575,21432.96007,0.861720806328893,1.41,0.830734966592428,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,20,9,171,2,4,16,16,12,63,1,22,21,NULL,NULL,NULL,NULL,NULL
5,"Angola","Angola",NULL,22.995479750691,NULL,49.2235494455567,2265.250682831,0.318240513357135,310.522201471,0.82719005127435,2075.96439868199,0.258792269371266,994.138047099,0,480.267871171,0.664908886406026,685.875909402999,0.136149374924208,510.55396907,0.308616395600846,267.650559545,0.926876152584346,25.188713335,0.989345806581929,7615.41235260699,606.2722922,0.265380411243876,-1.46,0.191536748329621,0.299,0.232947232947233,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,166,NULL,186,177,81,186,187,184,185,177,167,157,131,174,136,NULL,NULL,NULL,NULL
6,"Antigua-and-Barbuda","Antigua and Barbuda",NULL,69.4174977868661,NULL,90.658340222856,421.387748792999,0.972871272774884,90.637069661,0.986101306286733,276.355445385,0.907420397448992,188.697152771,0.829751783216619,41.416106978,0.976168828062047,319.317914546,0.623552227881175,115.870556328,0.867024410700458,31.8631588019999,0.996360393686129,0,1,1485.545153264,10094.75906,0.735788708521286,0.61,0.652561247216036,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41,NULL,43,3,6,82,103,66,142,73,4,1,38,43,NULL,NULL,NULL,NULL,NULL
7,"Argentina","Argentina",71.1056683557175,66.1028415108425,62.5,87.0186863552888,870.172865689,0.813538094334324,332.117732614,0.811582934374975,170.854455791,0.945445830288351,112.127396277999,0.90863266999297,58.228039416,0.964244799183185,235.981866716999,0.734362053436498,217.544427142,0.723173662085761,253.69185023,0.930989647709432,0.6807009868,0.999712080570501,2251.3993348638,7669.273709,0.689826666988746,0.06,0.530066815144766,0.711,0.763191763191763,NULL,NULL,5,0.625,NULL,NULL,NULL,NULL,"Member body",NULL,58,46,59,87,74,89,53,77,77,107,122,161,82,41,65,31,NULL,59,NULL,NULL
8,"Armenia","Armenia",62.2873750648361,45.5705019733169,62.5,84.8469543128514,695.376936346,0.875596281988407,387.46939972,0.771580216526628,422.431435436,0.854770628280921,229.148706421,0.788079266944678,86.951081175,0.943872698552509,163.288181648,0.831020999610644,150.436849799,0.818119149665053,231.398525648,0.937559272444829,435.894960537999,0.815627374142959,2802.396076731,621.4248263,0.269509340212941,-0.57,0.389755011135857,0.668,0.707850707850708,NULL,NULL,5,0.625,NULL,NULL,NULL,NULL,"Member body",NULL,75,100,59,101,32,120,109,115,99,75,94,149,186,130,120,44,NULL,59,NULL,NULL
9,"Australia","Australia",95.6003562644201,92.4811970613976,100,94.4767814307929,674.936687574,0.882853228982292,339.149916545,0.806500766405025,72.539725807,0.980881139250978,54.323766381,0.968181005967945,24.857095559,0.987913470213907,107.068591751,0.905774759976881,29.4097379079999,0.989351350316135,81.629509805,0.981694736738591,0.5677147328,0.999759870919602,1384.4827460628,21665.11545,0.863522771530123,1.77,0.910913140311804,0.895,1,NULL,NULL,8,1,NULL,NULL,NULL,NULL,"Member body","Full member",4,6,1,4,26,93,22,23,25,27,6,22,77,21,17,1,NULL,1,NULL,NULL
10,"Austria","Austria",92.1631647209489,87.4285169967895,100,89.5403991399502,818.99240613,0.83170880675007,758.710922673,0.503283511608236,48.395449994,0.989583394480197,79.219805775,0.942533521183307,16.685649462,0.993709148944001,147.312984336,0.852262813609154,33.8642625139999,0.983048976912177,144.918484147999,0.963044094938071,1.27276071,0.999461654170306,2049.372725742,24517.26745,0.884208495087405,1.95,0.951002227171492,0.73,0.787644787644788,NULL,NULL,8,1,NULL,NULL,NULL,NULL,"Member body","Full member",19,17,1,57,59,176,12,48,8,67,9,76,95,14,9,28,NULL,1,NULL,NULL
