"id","country_slug","country","ul_safety_index","institutions_resources","safety_frameworks","safety_outcomes","transport_injuries","transport_injuries_rating","falls","falls_rating","drowning","drowning_rating","fires_heat_hot_substances","fires_heat_hot_substances_rating","poisonings","poisonings_rating","exposure_to_mechanical_forces","exposure_to_mechanical_forces_rating","foreign_body","foreign_body_rating","other_unintentional_injuries","other_unintentional_injuries_rating","exposure_to_forces_of_nature_disaster","exposure_to_forces_of_nature_disaster_rating","unintentional_injuries","gdp_per_capita","gdp_per_capita_rating","government_effectiveness","government_effectiveness_rating","education","education_rating","network_readiness","network_readiness_rating","ul_standards_index","ul_standards_index_rating","consumer_protection_survey","consumer_protection_survey_rating","ul_labor_rights_index","ul_labor_rights_index_rating","road_safety","road_safety_rating","iso_membership","iec_membership","ul_safety_index_rank","institutions_resources_rank","safety_frameworks_rank","safety_outcomes_rank","transport_injuries_rating_rank","falls_rating_rank","drowning_rating_rank","fires_heat_hot_substances_rating_rank","poisonings_rating_rank","exposure_to_mechanical_forces_rating_rank","foreign_body_rating_rank","other_unintentional_injuries_rating_rank","exposure_to_forces_of_nature_disaster_rating_rank","gdp_per_capita_rating_rank","government_effectiveness_rating_rank","education_rating_rank","network_readiness_rating_rank","ul_standards_index_rating_rank","consumer_protection_survey_rating_rank","ul_labor_rights_index_rating_rank","road_safety_rating_rank"
1,"Afghanistan","Afghanistan",30.5871042539352,18.8288559276141,39.625,38.3549907600477,3016.253188252,0.034048729745034,1322.50264287,0,1258.619967848,0.186284430405082,181.134068407,0.76266101511528,144.769612234,0.742900421866947,595.030607656,0.0684742008552224,217.865337617999,0.658220915913022,2885.476127267,0,88.042835705,0.999359454503705,9709.694387857,569.9407288,0.158380417057448,-1.47,0.171111111111111,0.357,0.235374149659864,NULL,NULL,4,0.5,NULL,NULL,29.25,0.2925,NULL,NULL,"Correspondent member","Affiliate country",181,176,150,187,186,187,185,115,145,185,135,187,176,165,176,166,NULL,112,NULL,152,NULL
2,"Albania","Albania",61.9664215259941,42.7826861674119,59.5,93.4725813440186,580.024905503,0.888173022748982,196.292507462,0.897786674282525,77.341299038,0.961376721787638,35.881742951,0.977051407408291,23.547896126,0.96935671191115,174.454087391,0.767168098792745,30.410641921,0.981779808878235,102.534587495,0.969862841165943,3.156673483,0.999977033986166,1223.64434137,4094.358832,0.477549458652774,-0.27,0.437777777777778,0.602,0.568707482993197,3.27,0.227272727272727,5,0.625,NULL,NULL,56.5,0.565,NULL,NULL,"Correspondent member","Associate member",99,113,108,17,34,46,39,17,46,100,8,54,100,100,97,105,93,103,NULL,103,NULL
3,"Algeria","Algeria",64.7939165084109,41.1750586169431,75.25,87.7934196178441,1222.437340766,0.662947796126618,213.329819962,0.88420495303248,102.972809691,0.944558686510963,189.460231923,0.750371714707269,70.724711986,0.881224922997719,104.398967233,0.883549025010009,58.893975802,0.932615737825079,125.055271201,0.962014320465113,10.912284779,0.999920608930715,2098.185413343,4473.486446,0.491883812416334,-0.48,0.391111111111111,0.631,0.608163265306122,3.05,0.155844155844156,8,1,NULL,NULL,50.5,0.505,NULL,NULL,"Member body","Full member",82,117,60,77,148,53,51,120,114,47,46,79,115,95,109,92,111,1,NULL,115,NULL
4,"Andorra","Andorra",41.6872544180527,77.9857783578456,10,92.8954552367327,382.203119807,0.957527932567908,588.408997282,0.585201173354405,18.477528647,1,33.599050948,0.980420628744135,17.042223772,0.981510065887903,87.081274251,0.912318501739844,30.6400703269999,0.981383800654572,124.439643695999,0.962228868357179,0,1,1281.89190873,39639.38602,0.845015527606118,1.51,0.833333333333333,0.67,0.661224489795918,NULL,NULL,0,NULL,NULL,NULL,20,0.2,NULL,NULL,NULL,NULL,156,24,185,25,12,175,1,14,22,25,10,77,1,20,20,77,NULL,NULL,NULL,162,NULL
5,"Angola","Angola",37.4810173222902,35.5731959941128,34.875,42.4421141407299,2112.815715373,0.350787476380606,311.293220147,0.806110969957432,1542.526576668,0,697.846990079,0,336.517416872,0.384693180981529,562.298716976999,0.122850922292183,468.753371388,0.225171990875398,216.403719969,0.93017913284364,0.4674206593,0.999996599334906,6248.9231481323,3928.824514,0.47086934921114,-1.13,0.246666666666667,0.441,0.349659863945578,NULL,NULL,4,0.5,NULL,NULL,19.75,0.1975,NULL,NULL,"Correspondent member","Affiliate country",168,130,158,186,179,94,187,187,186,183,183,166,69,101,160,145,NULL,112,NULL,165,NULL
6,"Antigua-and-Barbuda","Antigua and Barbuda",63.9101298029875,65.1931078829584,44.625,89.7282472874196,394.658092408999,0.953161307837625,88.023103308,0.984096347074411,232.177576981,0.859781383931513,143.251311965,0.818575431557454,28.684124118,0.959761639565752,258.150906302,0.628124538745572,92.447153293,0.874700789767435,23.688797955,0.997340817388003,0,1,1261.081066331,13017.31039,0.664772828325486,0.49,0.606666666666667,0.687,0.684353741496599,NULL,NULL,2,0.25,NULL,NULL,64.25,0.6425,NULL,NULL,"Subscriber member","Affiliate country",88,44,143,63,13,6,93,105,65,138,67,3,1,47,52,64,NULL,150,NULL,83,NULL
7,"Argentina","Argentina",76.5010540313832,54.3480714991474,94.5,87.1738667126682,795.580912381,0.812600621229335,274.047977291,0.835801950055404,113.316334318,0.937771815287605,98.297209479,0.884927055442975,45.174121624,0.928956402864434,174.294086173,0.767433905059364,162.254518364,0.754208776061358,234.27605629,0.923950574092104,0.4255379736,0.999996904047555,1897.6667538936,11198.64257,0.640414305028771,-0.19,0.455555555555556,0.783,0.814965986394558,3.38,0.262987012987013,8,1,NULL,NULL,89,0.89,NULL,NULL,"Member body","Full member",38,71,22,82,87,75,56,87,86,99,113,173,67,55,91,34,89,1,NULL,33,NULL
8,"Armenia","Armenia",62.5071832619703,45.0438326822618,62.625,86.5778329541591,739.350635558,0.832314555993555,278.712343425,0.832083633528655,243.509118444999,0.85234622856121,135.125953238,0.83056834691722,53.621572442,0.913175580467309,155.299436301,0.798989270895441,129.947403912,0.809972938960143,232.031592168,0.924732776060471,299.415853806,0.997821634490314,2267.013909295,3124.784018,0.433806492200801,-0.17,0.46,0.701,0.703401360544217,3.2,0.204545454545455,6,0.75,NULL,NULL,50.25,0.5025,NULL,NULL,"Member body","Affiliate country",95,98,95,86,72,77,95,102,97,89,100,172,186,108,89,58,99,76,NULL,116,NULL
9,"Australia","Australia",93.8454816376303,89.700507115534,97.125,94.866782774152,458.184164017,0.930889519358806,335.905514657,0.786490661686463,49.980974291,0.979329113006627,33.219475881,0.980980876211866,23.863927345,0.968766328771143,81.560999388,0.92148920475314,28.353140806,0.985331188482617,59.856311418,0.984736338686662,0.3822868166,0.999997218716359,1071.3067946196,51845.65486,0.88846761506869,1.77,0.891111111111111,0.919,1,5.06,0.808441558441558,8,1,NULL,NULL,94.25,0.9425,NULL,NULL,"Member body","Full member",5,8,16,4,22,107,24,13,47,20,6,18,60,7,10,1,15,1,NULL,23,NULL
10,"Austria","Austria",91.4319089131322,84.4372088620683,100,90.5231154451765,493.17413941,0.918622283071307,658.609811217,0.529238832674708,35.276508424,0.988977402138853,37.580821663,0.97454359109307,17.876400671,0.97995172624503,128.920539282,0.842811913133967,46.228760039,0.954476716960356,134.399509989,0.958757827344455,41.221544961,0.999700097404137,1593.288035656,46659.84082,0.87140919554643,1.84,0.906666666666667,0.794,0.829931972789116,4.94,0.76948051948052,8,1,NULL,NULL,100,1,NULL,NULL,"Member body","Full member",13,16,1,51,26,180,11,21,27,75,29,96,161,12,7,30,18,1,NULL,1,NULL
